rounds,key_mode,key_hex,num_keys,seed_hex,fixed_side,fixed_mask_hex,fixed_mask_weight,rank,free_mask_hex,metric_name,metric_pow2,abs_metric_pow2
10,random_keys,,5,0x0000000000001234,output,0x00000001,1,1,0x66be1f23,rms,2^(-14.2575),2^(-14.2575)
10,random_keys,,5,0x0000000000001234,output,0x00000001,1,2,0x733aa390,rms,2^(-14.2844),2^(-14.2844)
10,random_keys,,5,0x0000000000001234,output,0x00000001,1,3,0x94375f1f,rms,2^(-14.3222),2^(-14.3222)
10,random_keys,,5,0x0000000000001234,output,0x00000001,1,4,0xe0b16481,rms,2^(-14.3312),2^(-14.3312)
10,random_keys,,5,0x0000000000001234,output,0x00000001,1,5,0x04ddbe62,rms,2^(-14.3324),2^(-14.3324)
10,random_keys,,5,0x0000000000001234,output,0x00000002,1,1,0x741435ff,rms,2^(-14.3311),2^(-14.3311)
10,random_keys,,5,0x0000000000001234,output,0x00000002,1,2,0xbd9fd5b4,rms,2^(-14.3408),2^(-14.3408)
10,random_keys,,5,0x0000000000001234,output,0x00000002,1,3,0xc6cd3fbd,rms,2^(-14.3488),2^(-14.3488)
10,random_keys,,5,0x0000000000001234,output,0x00000002,1,4,0xb26164be,rms,2^(-14.3512),2^(-14.3512)
10,random_keys,,5,0x0000000000001234,output,0x00000002,1,5,0xab86f3d5,rms,2^(-14.3560),2^(-14.3560)
10,random_keys,,5,0x0000000000001234,output,0x00000004,1,1,0x35773ce5,rms,2^(-14.3175),2^(-14.3175)
10,random_keys,,5,0x0000000000001234,output,0x00000004,1,2,0xb806d970,rms,2^(-14.3278),2^(-14.3278)
10,random_keys,,5,0x0000000000001234,output,0x00000004,1,3,0x3417fc55,rms,2^(-14.3398),2^(-14.3398)
10,random_keys,,5,0x0000000000001234,output,0x00000004,1,4,0x11d5cddb,rms,2^(-14.3413),2^(-14.3413)
10,random_keys,,5,0x0000000000001234,output,0x00000004,1,5,0x7bb01cfe,rms,2^(-14.3471),2^(-14.3471)
10,random_keys,,5,0x0000000000001234,output,0x00000008,1,1,0x3aa0f129,rms,2^(-14.2751),2^(-14.2751)
10,random_keys,,5,0x0000000000001234,output,0x00000008,1,2,0xbbab3634,rms,2^(-14.3082),2^(-14.3082)
10,random_keys,,5,0x0000000000001234,output,0x00000008,1,3,0x4fdf4675,rms,2^(-14.3088),2^(-14.3088)
10,random_keys,,5,0x0000000000001234,output,0x00000008,1,4,0xd954c636,rms,2^(-14.3238),2^(-14.3238)
10,random_keys,,5,0x0000000000001234,output,0x00000008,1,5,0xe8bbb40e,rms,2^(-14.3247),2^(-14.3247)
10,random_keys,,5,0x0000000000001234,output,0x00000010,1,1,0xdbf4eb06,rms,2^(-14.1952),2^(-14.1952)
10,random_keys,,5,0x0000000000001234,output,0x00000010,1,2,0x341b6f4b,rms,2^(-14.2744),2^(-14.2744)
10,random_keys,,5,0x0000000000001234,output,0x00000010,1,3,0x15002f1a,rms,2^(-14.3213),2^(-14.3213)
10,random_keys,,5,0x0000000000001234,output,0x00000010,1,4,0x6e392f87,rms,2^(-14.3262),2^(-14.3262)
10,random_keys,,5,0x0000000000001234,output,0x00000010,1,5,0x1e5744e9,rms,2^(-14.3296),2^(-14.3296)
10,random_keys,,5,0x0000000000001234,output,0x00000020,1,1,0xbbe46fbd,rms,2^(-14.2893),2^(-14.2893)
10,random_keys,,5,0x0000000000001234,output,0x00000020,1,2,0xe3141e91,rms,2^(-14.2897),2^(-14.2897)
10,random_keys,,5,0x0000000000001234,output,0x00000020,1,3,0x605d08a7,rms,2^(-14.3018),2^(-14.3018)
10,random_keys,,5,0x0000000000001234,output,0x00000020,1,4,0xccefa5ad,rms,2^(-14.3137),2^(-14.3137)
10,random_keys,,5,0x0000000000001234,output,0x00000020,1,5,0xf7db3016,rms,2^(-14.3417),2^(-14.3417)
10,random_keys,,5,0x0000000000001234,output,0x00000040,1,1,0x14db3c39,rms,2^(-14.2559),2^(-14.2559)
10,random_keys,,5,0x0000000000001234,output,0x00000040,1,2,0x7f2e1cbe,rms,2^(-14.2970),2^(-14.2970)
10,random_keys,,5,0x0000000000001234,output,0x00000040,1,3,0x430c080c,rms,2^(-14.3070),2^(-14.3070)
10,random_keys,,5,0x0000000000001234,output,0x00000040,1,4,0x2417427f,rms,2^(-14.3082),2^(-14.3082)
10,random_keys,,5,0x0000000000001234,output,0x00000040,1,5,0xb4b271c0,rms,2^(-14.3134),2^(-14.3134)
10,random_keys,,5,0x0000000000001234,output,0x00000080,1,1,0xfecec3c5,rms,2^(-14.2907),2^(-14.2907)
10,random_keys,,5,0x0000000000001234,output,0x00000080,1,2,0x43d4ba61,rms,2^(-14.3364),2^(-14.3364)
10,random_keys,,5,0x0000000000001234,output,0x00000080,1,3,0x35e2176c,rms,2^(-14.3365),2^(-14.3365)
10,random_keys,,5,0x0000000000001234,output,0x00000080,1,4,0x9d63c024,rms,2^(-14.3443),2^(-14.3443)
10,random_keys,,5,0x0000000000001234,output,0x00000080,1,5,0x02244a77,rms,2^(-14.3459),2^(-14.3459)
10,random_keys,,5,0x0000000000001234,output,0x00000100,1,1,0x84d395fe,rms,2^(-14.3031),2^(-14.3031)
10,random_keys,,5,0x0000000000001234,output,0x00000100,1,2,0x102d9fe0,rms,2^(-14.3068),2^(-14.3068)
10,random_keys,,5,0x0000000000001234,output,0x00000100,1,3,0x396a930d,rms,2^(-14.3189),2^(-14.3189)
10,random_keys,,5,0x0000000000001234,output,0x00000100,1,4,0x478d8bcd,rms,2^(-14.3221),2^(-14.3221)
10,random_keys,,5,0x0000000000001234,output,0x00000100,1,5,0xc841adbf,rms,2^(-14.3341),2^(-14.3341)
10,random_keys,,5,0x0000000000001234,output,0x00000200,1,1,0x2bd74c98,rms,2^(-14.2573),2^(-14.2573)
10,random_keys,,5,0x0000000000001234,output,0x00000200,1,2,0x392d9da8,rms,2^(-14.2821),2^(-14.2821)
10,random_keys,,5,0x0000000000001234,output,0x00000200,1,3,0x16fedfad,rms,2^(-14.3076),2^(-14.3076)
10,random_keys,,5,0x0000000000001234,output,0x00000200,1,4,0x99a46f97,rms,2^(-14.3100),2^(-14.3100)
10,random_keys,,5,0x0000000000001234,output,0x00000200,1,5,0xa7648ae6,rms,2^(-14.3143),2^(-14.3143)
10,random_keys,,5,0x0000000000001234,output,0x00000400,1,1,0x240d384c,rms,2^(-14.3320),2^(-14.3320)
10,random_keys,,5,0x0000000000001234,output,0x00000400,1,2,0x759eaf22,rms,2^(-14.3417),2^(-14.3417)
10,random_keys,,5,0x0000000000001234,output,0x00000400,1,3,0xfa44a26b,rms,2^(-14.3443),2^(-14.3443)
10,random_keys,,5,0x0000000000001234,output,0x00000400,1,4,0xc40f817b,rms,2^(-14.3496),2^(-14.3496)
10,random_keys,,5,0x0000000000001234,output,0x00000400,1,5,0x69af6eca,rms,2^(-14.3497),2^(-14.3497)
