rounds,key_mode,key_hex,num_keys,seed_hex,fixed_side,fixed_mask_hex,fixed_mask_weight,rank,free_mask_hex,metric_name,metric_pow2,abs_metric_pow2
11,random_keys,,10,0x0000000000001234,input,0x00000001,1,1,0x8a235e56,rms,2^(-14.6323),2^(-14.6323)
11,random_keys,,10,0x0000000000001234,input,0x00000001,1,2,0xc1a38630,rms,2^(-14.6534),2^(-14.6534)
11,random_keys,,10,0x0000000000001234,input,0x00000001,1,3,0x8661de53,rms,2^(-14.6601),2^(-14.6601)
11,random_keys,,10,0x0000000000001234,input,0x00000001,1,4,0x2bf7414f,rms,2^(-14.6638),2^(-14.6638)
11,random_keys,,10,0x0000000000001234,input,0x00000001,1,5,0x562df376,rms,2^(-14.6663),2^(-14.6663)
11,random_keys,,10,0x0000000000001234,input,0x00000002,1,1,0xa0dea74f,rms,2^(-14.6288),2^(-14.6288)
11,random_keys,,10,0x0000000000001234,input,0x00000002,1,2,0x59071336,rms,2^(-14.6312),2^(-14.6312)
11,random_keys,,10,0x0000000000001234,input,0x00000002,1,3,0xfffc2784,rms,2^(-14.6593),2^(-14.6593)
11,random_keys,,10,0x0000000000001234,input,0x00000002,1,4,0x8cf9128d,rms,2^(-14.6611),2^(-14.6611)
11,random_keys,,10,0x0000000000001234,input,0x00000002,1,5,0xc7743a7a,rms,2^(-14.6673),2^(-14.6673)
11,random_keys,,10,0x0000000000001234,input,0x00000004,1,1,0xc6c078c9,rms,2^(-14.6106),2^(-14.6106)
11,random_keys,,10,0x0000000000001234,input,0x00000004,1,2,0x10cc259e,rms,2^(-14.6343),2^(-14.6343)
11,random_keys,,10,0x0000000000001234,input,0x00000004,1,3,0xc606a2fc,rms,2^(-14.6388),2^(-14.6388)
11,random_keys,,10,0x0000000000001234,input,0x00000004,1,4,0xebacba06,rms,2^(-14.6400),2^(-14.6400)
11,random_keys,,10,0x0000000000001234,input,0x00000004,1,5,0x4ba1b55a,rms,2^(-14.6495),2^(-14.6495)
11,random_keys,,10,0x0000000000001234,input,0x00000008,1,1,0xcbd4b0a3,rms,2^(-14.6207),2^(-14.6207)
11,random_keys,,10,0x0000000000001234,input,0x00000008,1,2,0xe9e6b276,rms,2^(-14.6714),2^(-14.6714)
11,random_keys,,10,0x0000000000001234,input,0x00000008,1,3,0x42d016e5,rms,2^(-14.6802),2^(-14.6802)
11,random_keys,,10,0x0000000000001234,input,0x00000008,1,4,0xc5c33d52,rms,2^(-14.6832),2^(-14.6832)
11,random_keys,,10,0x0000000000001234,input,0x00000008,1,5,0x387e7af8,rms,2^(-14.6864),2^(-14.6864)
11,random_keys,,10,0x0000000000001234,input,0x00000010,1,1,0xe23a933d,rms,2^(-14.5881),2^(-14.5881)
11,random_keys,,10,0x0000000000001234,input,0x00000010,1,2,0xbdda547c,rms,2^(-14.6472),2^(-14.6472)
11,random_keys,,10,0x0000000000001234,input,0x00000010,1,3,0xf1ec70bb,rms,2^(-14.6622),2^(-14.6622)
11,random_keys,,10,0x0000000000001234,input,0x00000010,1,4,0x2ac4fb0d,rms,2^(-14.6657),2^(-14.6657)
11,random_keys,,10,0x0000000000001234,input,0x00000010,1,5,0x6cf049f1,rms,2^(-14.6659),2^(-14.6659)
11,random_keys,,10,0x0000000000001234,input,0x00000020,1,1,0x8dcbe80e,rms,2^(-14.5440),2^(-14.5440)
11,random_keys,,10,0x0000000000001234,input,0x00000020,1,2,0x78523ea7,rms,2^(-14.5901),2^(-14.5901)
11,random_keys,,10,0x0000000000001234,input,0x00000020,1,3,0x25a7cbd7,rms,2^(-14.6737),2^(-14.6737)
11,random_keys,,10,0x0000000000001234,input,0x00000020,1,4,0x35cb4a84,rms,2^(-14.6755),2^(-14.6755)
11,random_keys,,10,0x0000000000001234,input,0x00000020,1,5,0xc6b61a31,rms,2^(-14.6883),2^(-14.6883)
11,random_keys,,10,0x0000000000001234,input,0x00000040,1,1,0x6b6398b8,rms,2^(-14.6492),2^(-14.6492)
11,random_keys,,10,0x0000000000001234,input,0x00000040,1,2,0xe05bdd88,rms,2^(-14.6740),2^(-14.6740)
11,random_keys,,10,0x0000000000001234,input,0x00000040,1,3,0x67b1c889,rms,2^(-14.6776),2^(-14.6776)
11,random_keys,,10,0x0000000000001234,input,0x00000040,1,4,0x7d489e50,rms,2^(-14.6803),2^(-14.6803)
11,random_keys,,10,0x0000000000001234,input,0x00000040,1,5,0x9cdb1a3f,rms,2^(-14.6816),2^(-14.6816)
11,random_keys,,10,0x0000000000001234,input,0x00000080,1,1,0x76599595,rms,2^(-14.5967),2^(-14.5967)
11,random_keys,,10,0x0000000000001234,input,0x00000080,1,2,0xab565c53,rms,2^(-14.6576),2^(-14.6576)
11,random_keys,,10,0x0000000000001234,input,0x00000080,1,3,0xecdb1a89,rms,2^(-14.6763),2^(-14.6763)
11,random_keys,,10,0x0000000000001234,input,0x00000080,1,4,0x5b13eb0a,rms,2^(-14.6785),2^(-14.6785)
11,random_keys,,10,0x0000000000001234,input,0x00000080,1,5,0x38b0b8cb,rms,2^(-14.6834),2^(-14.6834)
11,random_keys,,10,0x0000000000001234,input,0x00000100,1,1,0xad282da0,rms,2^(-14.6327),2^(-14.6327)
11,random_keys,,10,0x0000000000001234,input,0x00000100,1,2,0x00af028e,rms,2^(-14.6413),2^(-14.6413)
11,random_keys,,10,0x0000000000001234,input,0x00000100,1,3,0xea270413,rms,2^(-14.6575),2^(-14.6575)
11,random_keys,,10,0x0000000000001234,input,0x00000100,1,4,0x71346a21,rms,2^(-14.6620),2^(-14.6620)
11,random_keys,,10,0x0000000000001234,input,0x00000100,1,5,0xff814be9,rms,2^(-14.6753),2^(-14.6753)
11,random_keys,,10,0x0000000000001234,input,0x00000200,1,1,0x7951ff1b,rms,2^(-14.6238),2^(-14.6238)
11,random_keys,,10,0x0000000000001234,input,0x00000200,1,2,0x921315b1,rms,2^(-14.6281),2^(-14.6281)
11,random_keys,,10,0x0000000000001234,input,0x00000200,1,3,0x66300f3a,rms,2^(-14.6569),2^(-14.6569)
11,random_keys,,10,0x0000000000001234,input,0x00000200,1,4,0xbed9af7d,rms,2^(-14.6650),2^(-14.6650)
11,random_keys,,10,0x0000000000001234,input,0x00000200,1,5,0xbe902edf,rms,2^(-14.6706),2^(-14.6706)
11,random_keys,,10,0x0000000000001234,input,0x00000400,1,1,0xbb60db73,rms,2^(-14.6179),2^(-14.6179)
11,random_keys,,10,0x0000000000001234,input,0x00000400,1,2,0xe2c70983,rms,2^(-14.6401),2^(-14.6401)
11,random_keys,,10,0x0000000000001234,input,0x00000400,1,3,0x19121b0c,rms,2^(-14.6482),2^(-14.6482)
11,random_keys,,10,0x0000000000001234,input,0x00000400,1,4,0xa229ca73,rms,2^(-14.6639),2^(-14.6639)
11,random_keys,,10,0x0000000000001234,input,0x00000400,1,5,0x80ac7037,rms,2^(-14.6667),2^(-14.6667)
11,random_keys,,10,0x0000000000001234,input,0x00000800,1,1,0xed964aba,rms,2^(-14.6200),2^(-14.6200)
11,random_keys,,10,0x0000000000001234,input,0x00000800,1,2,0x23244215,rms,2^(-14.6455),2^(-14.6455)
11,random_keys,,10,0x0000000000001234,input,0x00000800,1,3,0x51daddee,rms,2^(-14.6530),2^(-14.6530)
11,random_keys,,10,0x0000000000001234,input,0x00000800,1,4,0x756200f8,rms,2^(-14.6674),2^(-14.6674)
11,random_keys,,10,0x0000000000001234,input,0x00000800,1,5,0xdb255ee2,rms,2^(-14.6781),2^(-14.6781)
11,random_keys,,10,0x0000000000001234,input,0x00001000,1,1,0xccf88a4e,rms,2^(-14.6387),2^(-14.6387)
11,random_keys,,10,0x0000000000001234,input,0x00001000,1,2,0x56b0692b,rms,2^(-14.6395),2^(-14.6395)
11,random_keys,,10,0x0000000000001234,input,0x00001000,1,3,0xfc0b8d98,rms,2^(-14.6607),2^(-14.6607)
11,random_keys,,10,0x0000000000001234,input,0x00001000,1,4,0xabfe7ee9,rms,2^(-14.6794),2^(-14.6794)
11,random_keys,,10,0x0000000000001234,input,0x00001000,1,5,0x505a7572,rms,2^(-14.6814),2^(-14.6814)
11,random_keys,,10,0x0000000000001234,input,0x00002000,1,1,0xb1a34182,rms,2^(-14.6286),2^(-14.6286)
11,random_keys,,10,0x0000000000001234,input,0x00002000,1,2,0x1cb18fe6,rms,2^(-14.6698),2^(-14.6698)
11,random_keys,,10,0x0000000000001234,input,0x00002000,1,3,0xb8fe47e0,rms,2^(-14.6713),2^(-14.6713)
11,random_keys,,10,0x0000000000001234,input,0x00002000,1,4,0xca769ab2,rms,2^(-14.6796),2^(-14.6796)
11,random_keys,,10,0x0000000000001234,input,0x00002000,1,5,0xc738d61a,rms,2^(-14.6829),2^(-14.6829)
11,random_keys,,10,0x0000000000001234,input,0x00004000,1,1,0xe9a44763,rms,2^(-14.5822),2^(-14.5822)
11,random_keys,,10,0x0000000000001234,input,0x00004000,1,2,0x9929f085,rms,2^(-14.5835),2^(-14.5835)
11,random_keys,,10,0x0000000000001234,input,0x00004000,1,3,0x0203cd21,rms,2^(-14.5961),2^(-14.5961)
11,random_keys,,10,0x0000000000001234,input,0x00004000,1,4,0x4cccb306,rms,2^(-14.6771),2^(-14.6771)
11,random_keys,,10,0x0000000000001234,input,0x00004000,1,5,0x664a7e18,rms,2^(-14.6773),2^(-14.6773)
11,random_keys,,10,0x0000000000001234,input,0x00008000,1,1,0x97a4dbbd,rms,2^(-14.6638),2^(-14.6638)
11,random_keys,,10,0x0000000000001234,input,0x00008000,1,2,0xab1d9e8d,rms,2^(-14.6665),2^(-14.6665)
11,random_keys,,10,0x0000000000001234,input,0x00008000,1,3,0xb23a2bd1,rms,2^(-14.6821),2^(-14.6821)
11,random_keys,,10,0x0000000000001234,input,0x00008000,1,4,0x1dbac230,rms,2^(-14.6859),2^(-14.6859)
11,random_keys,,10,0x0000000000001234,input,0x00008000,1,5,0x2c8a9982,rms,2^(-14.6861),2^(-14.6861)
11,random_keys,,10,0x0000000000001234,input,0x00010000,1,1,0x69185396,rms,2^(-14.6426),2^(-14.6426)
11,random_keys,,10,0x0000000000001234,input,0x00010000,1,2,0x34086681,rms,2^(-14.6518),2^(-14.6518)
11,random_keys,,10,0x0000000000001234,input,0x00010000,1,3,0x3b197e20,rms,2^(-14.6550),2^(-14.6550)
11,random_keys,,10,0x0000000000001234,input,0x00010000,1,4,0x2887a68b,rms,2^(-14.6620),2^(-14.6620)
11,random_keys,,10,0x0000000000001234,input,0x00010000,1,5,0x3692bc83,rms,2^(-14.6660),2^(-14.6660)
11,random_keys,,10,0x0000000000001234,input,0x00020000,1,1,0x20ff40a2,rms,2^(-14.6487),2^(-14.6487)
11,random_keys,,10,0x0000000000001234,input,0x00020000,1,2,0x953e6360,rms,2^(-14.6546),2^(-14.6546)
11,random_keys,,10,0x0000000000001234,input,0x00020000,1,3,0x811eba10,rms,2^(-14.6575),2^(-14.6575)
11,random_keys,,10,0x0000000000001234,input,0x00020000,1,4,0xe5e4dd48,rms,2^(-14.6588),2^(-14.6588)
11,random_keys,,10,0x0000000000001234,input,0x00020000,1,5,0x77e777c6,rms,2^(-14.6620),2^(-14.6620)
11,random_keys,,10,0x0000000000001234,input,0x00040000,1,1,0xf315a4d0,rms,2^(-14.6041),2^(-14.6041)
11,random_keys,,10,0x0000000000001234,input,0x00040000,1,2,0xbf1fe473,rms,2^(-14.6105),2^(-14.6105)
