rounds,key_mode,key_hex,num_keys,seed_hex,fixed_input_difference_hex,fixed_input_difference_weight,rank,output_mask_hex,metric_name,metric_pow2,abs_metric_pow2
11,random_keys,,5,0x0000000000001234,0x00000001,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000001,1,2,0xb36b41a3,rms,2^(-13.7347),2^(-13.7347)
11,random_keys,,5,0x0000000000001234,0x00000001,1,3,0x2f0f5e4b,rms,2^(-13.7829),2^(-13.7829)
11,random_keys,,5,0x0000000000001234,0x00000001,1,4,0xaa83683d,rms,2^(-13.7861),2^(-13.7861)
11,random_keys,,5,0x0000000000001234,0x00000001,1,5,0x17fdc432,rms,2^(-13.8151),2^(-13.8151)
11,random_keys,,5,0x0000000000001234,0x00000002,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000002,1,2,0xe265acc0,rms,2^(-13.7818),2^(-13.7818)
11,random_keys,,5,0x0000000000001234,0x00000002,1,3,0x62ecd4d7,rms,2^(-13.8030),2^(-13.8030)
11,random_keys,,5,0x0000000000001234,0x00000002,1,4,0xcd0e43dd,rms,2^(-13.8277),2^(-13.8277)
11,random_keys,,5,0x0000000000001234,0x00000002,1,5,0xb1a50fff,rms,2^(-13.8340),2^(-13.8340)
11,random_keys,,5,0x0000000000001234,0x00000004,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000004,1,2,0x8faba7d1,rms,2^(-13.7763),2^(-13.7763)
11,random_keys,,5,0x0000000000001234,0x00000004,1,3,0x2a44f5ae,rms,2^(-13.8125),2^(-13.8125)
11,random_keys,,5,0x0000000000001234,0x00000004,1,4,0xa88ac2a0,rms,2^(-13.8305),2^(-13.8305)
11,random_keys,,5,0x0000000000001234,0x00000004,1,5,0x68d1ed27,rms,2^(-13.8320),2^(-13.8320)
11,random_keys,,5,0x0000000000001234,0x00000008,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000008,1,2,0x41033785,rms,2^(-13.8102),2^(-13.8102)
11,random_keys,,5,0x0000000000001234,0x00000008,1,3,0x1fa9ebc8,rms,2^(-13.8211),2^(-13.8211)
11,random_keys,,5,0x0000000000001234,0x00000008,1,4,0x706d2081,rms,2^(-13.8356),2^(-13.8356)
11,random_keys,,5,0x0000000000001234,0x00000008,1,5,0xb19ba33f,rms,2^(-13.8359),2^(-13.8359)
11,random_keys,,5,0x0000000000001234,0x00000010,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000010,1,2,0x2600d6bf,rms,2^(-13.7294),2^(-13.7294)
11,random_keys,,5,0x0000000000001234,0x00000010,1,3,0xdf20afd1,rms,2^(-13.7675),2^(-13.7675)
11,random_keys,,5,0x0000000000001234,0x00000010,1,4,0x1e7e7526,rms,2^(-13.7832),2^(-13.7832)
11,random_keys,,5,0x0000000000001234,0x00000010,1,5,0x6644ff9a,rms,2^(-13.7995),2^(-13.7995)
11,random_keys,,5,0x0000000000001234,0x00000020,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000020,1,2,0xf013e70e,rms,2^(-13.7900),2^(-13.7900)
11,random_keys,,5,0x0000000000001234,0x00000020,1,3,0xf636b586,rms,2^(-13.8105),2^(-13.8105)
11,random_keys,,5,0x0000000000001234,0x00000020,1,4,0xc9a44f31,rms,2^(-13.8261),2^(-13.8261)
11,random_keys,,5,0x0000000000001234,0x00000020,1,5,0xe161409f,rms,2^(-13.8405),2^(-13.8405)
11,random_keys,,5,0x0000000000001234,0x00000040,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000040,1,2,0x0ebdd0a3,rms,2^(-13.7636),2^(-13.7636)
11,random_keys,,5,0x0000000000001234,0x00000040,1,3,0x523e1b74,rms,2^(-13.8159),2^(-13.8159)
11,random_keys,,5,0x0000000000001234,0x00000040,1,4,0x3b819cfd,rms,2^(-13.8185),2^(-13.8185)
11,random_keys,,5,0x0000000000001234,0x00000040,1,5,0xcecb8642,rms,2^(-13.8257),2^(-13.8257)
11,random_keys,,5,0x0000000000001234,0x00000080,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000080,1,2,0x3f6872ae,rms,2^(-13.8152),2^(-13.8152)
11,random_keys,,5,0x0000000000001234,0x00000080,1,3,0xa9e40a04,rms,2^(-13.8230),2^(-13.8230)
11,random_keys,,5,0x0000000000001234,0x00000080,1,4,0x158cd0d7,rms,2^(-13.8231),2^(-13.8231)
11,random_keys,,5,0x0000000000001234,0x00000080,1,5,0x7a411f34,rms,2^(-13.8245),2^(-13.8245)
11,random_keys,,5,0x0000000000001234,0x00000100,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000100,1,2,0xe3313d87,rms,2^(-13.7909),2^(-13.7909)
11,random_keys,,5,0x0000000000001234,0x00000100,1,3,0x977193b0,rms,2^(-13.8117),2^(-13.8117)
11,random_keys,,5,0x0000000000001234,0x00000100,1,4,0x543c7219,rms,2^(-13.8146),2^(-13.8146)
11,random_keys,,5,0x0000000000001234,0x00000100,1,5,0x36588393,rms,2^(-13.8191),2^(-13.8191)
11,random_keys,,5,0x0000000000001234,0x00000200,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000200,1,2,0x34f8b774,rms,2^(-13.8062),2^(-13.8062)
11,random_keys,,5,0x0000000000001234,0x00000200,1,3,0x224337d9,rms,2^(-13.8128),2^(-13.8128)
11,random_keys,,5,0x0000000000001234,0x00000200,1,4,0xda6954ac,rms,2^(-13.8306),2^(-13.8306)
11,random_keys,,5,0x0000000000001234,0x00000200,1,5,0x71d0f555,rms,2^(-13.8317),2^(-13.8317)
11,random_keys,,5,0x0000000000001234,0x00000400,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000400,1,2,0xce8a2d07,rms,2^(-13.7835),2^(-13.7835)
11,random_keys,,5,0x0000000000001234,0x00000400,1,3,0x6ffa0281,rms,2^(-13.7936),2^(-13.7936)
11,random_keys,,5,0x0000000000001234,0x00000400,1,4,0xfb753b68,rms,2^(-13.8254),2^(-13.8254)
11,random_keys,,5,0x0000000000001234,0x00000400,1,5,0x660e3f5f,rms,2^(-13.8322),2^(-13.8322)
11,random_keys,,5,0x0000000000001234,0x00000800,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00000800,1,2,0x50d77f78,rms,2^(-13.8215),2^(-13.8215)
11,random_keys,,5,0x0000000000001234,0x00000800,1,3,0x313244dd,rms,2^(-13.8378),2^(-13.8378)
11,random_keys,,5,0x0000000000001234,0x00000800,1,4,0xd24c5069,rms,2^(-13.8429),2^(-13.8429)
11,random_keys,,5,0x0000000000001234,0x00000800,1,5,0x5cd91438,rms,2^(-13.8438),2^(-13.8438)
11,random_keys,,5,0x0000000000001234,0x00001000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00001000,1,2,0xf35a7236,rms,2^(-13.8027),2^(-13.8027)
11,random_keys,,5,0x0000000000001234,0x00001000,1,3,0x30766f06,rms,2^(-13.8129),2^(-13.8129)
11,random_keys,,5,0x0000000000001234,0x00001000,1,4,0x3efe1a35,rms,2^(-13.8147),2^(-13.8147)
11,random_keys,,5,0x0000000000001234,0x00001000,1,5,0x4666b7a2,rms,2^(-13.8217),2^(-13.8217)
11,random_keys,,5,0x0000000000001234,0x00002000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00002000,1,2,0xeb0c20e2,rms,2^(-13.7858),2^(-13.7858)
11,random_keys,,5,0x0000000000001234,0x00002000,1,3,0x2bc5ba06,rms,2^(-13.7949),2^(-13.7949)
11,random_keys,,5,0x0000000000001234,0x00002000,1,4,0x6e476392,rms,2^(-13.7950),2^(-13.7950)
