index,batch,position,cpu_value,gpu_fp32,tc_value,diff_cpu_tc,diff_cpu_gpu
0,0,0,-1934,-1934.000000,-1934.000000,0.000000,0.000000
1,0,1,-218,-218.000000,-218.000000,0.000000,0.000000
2,0,2,-838,-838.000000,-838.000000,0.000000,0.000000
3,0,3,518,518.000000,518.000000,0.000000,0.000000
4,0,4,-210,-210.000000,-210.000000,0.000000,0.000000
5,0,5,-1430,-1430.000000,-1430.000000,0.000000,0.000000
6,0,6,-874,-874.000000,-874.000000,0.000000,0.000000
7,0,7,-614,-614.000000,-614.000000,0.000000,0.000000
8,0,8,-3012,-3012.000000,-3012.000000,0.000000,0.000000
9,0,9,708,708.000000,708.000000,0.000000,0.000000
10,0,10,1004,1004.000000,1004.000000,0.000000,0.000000
11,0,11,-5620,-5620.000000,-5620.000000,0.000000,0.000000
12,0,12,-680,-680.000000,-680.000000,0.000000,0.000000
13,0,13,2304,2304.000000,2304.000000,0.000000,0.000000
14,0,14,312,312.000000,312.000000,0.000000,0.000000
15,0,15,-1816,-1816.000000,-1816.000000,0.000000,0.000000
16,0,16,-1236,-1236.000000,-1236.000000,0.000000,0.000000
17,0,17,-1020,-1020.000000,-1020.000000,0.000000,0.000000
18,0,18,-148,-148.000000,-149.000000,1.000000,0.000000
19,0,19,2308,2308.000000,2308.000000,0.000000,0.000000
20,0,20,-1748,-1748.000000,-1748.000000,0.000000,0.000000
21,0,21,3708,3708.000000,3708.000000,0.000000,0.000000
22,0,22,-396,-396.000000,-396.000000,0.000000,0.000000
23,0,23,-1692,-1692.000000,-1692.000000,0.000000,0.000000
24,0,24,2558,2558.000000,2558.000000,0.000000,0.000000
25,0,25,-886,-886.000000,-886.000000,0.000000,0.000000
26,0,26,582,582.000000,582.000000,0.000000,0.000000
27,0,27,2418,2418.000000,2418.000000,0.000000,0.000000
28,0,28,-4754,-4754.000000,-4752.000000,-2.000000,0.000000
29,0,29,1514,1514.000000,1514.000000,0.000000,0.000000
30,0,30,2014,2014.000000,2014.000000,0.000000,0.000000
31,0,31,2138,2138.000000,2138.000000,0.000000,0.000000
